id,parent_id,title,cited,authors,publishers,snippet,link,link_to_citers
614,73,Deep learning based on striation images for underwater and surface target classification,14,"X Zhou, K Yang, R Duan - IEEE Signal Processing Letters, 2019",ieeexplore.ieee.org,"Currently, synthetic aperture radar (SAR) images are generally used for ship identification. However, the SAR can only be used to classify surface ships without any underwater target …",https://ieeexplore.ieee.org/abstract/document/8723113/,"https://scholar.google.com/scholar?cites=16065671367432058103&as_sdt=2005&sciodt=0,5&hl=en"
615,73,DES-Pat: A novel DES pattern-based propeller recognition method using underwater acoustical sounds,8,"O Yaman, T Tuncer, B Tasar - Applied Acoustics, 2021",Elsevier,Purpose This work aims to propose a new propeller recognition (propeller type classification) method by using a nonlinear pattern-based sound classification model with …,https://www.sciencedirect.com/science/article/pii/S0003682X20309646,"https://scholar.google.com/scholar?cites=10845172958190700821&as_sdt=2005&sciodt=0,5&hl=en"
616,73,A basic bio-inspired camouflage communication frame design and applications for secure underwater communication among military underwater platforms,7,"J Jiajia, W Xianquan, D Fajie, F Xiao, L Chunyue… - IEEE …, 2020",ieeexplore.ieee.org,"Many marine mammal species, such as different kinds of whales and dolphins, live together in groups. Although having no nice eyesight, they can accomplish cooperative foraging, inter …",https://ieeexplore.ieee.org/abstract/document/8977542/,"https://scholar.google.com/scholar?cites=1892829701504644607&as_sdt=2005&sciodt=0,5&hl=en"
617,73,Data selection in frog chorusing recognition with acoustic indices,6,"H Gan, J Zhang, M Towsey, A Truskinger, D Stark… - Ecological …, 2020",Elsevier,This research explores the data selection problem in acoustic recognition of two co-existing sibling frog species from long-duration field recordings. This study explores the data …,https://www.sciencedirect.com/science/article/pii/S1574954120301102,"https://scholar.google.com/scholar?cites=9073837329796838206&as_sdt=2005&sciodt=0,5&hl=en"
618,73,Naive Bayes classifier for infant weight prediction of hypertension mother,5,"A Desiani, R Primartha, M Arhami… - Journal of Physics …, 2019",iopscience.iop.org,Classification is one method of data analysis in data mining that is used to form a model in order to describe the appropriate data class or model that predicts data trends. The Usage of …,https://iopscience.iop.org/article/10.1088/1742-6596/1282/1/012005/meta,"https://scholar.google.com/scholar?cites=3474973309601475332&as_sdt=2005&sciodt=0,5&hl=en"
619,77,“Singing” fish rely on circadian rhythm and melatonin for the timing of nocturnal courtship vocalization,45,"NY Feng, AH Bass - Current Biology, 2016",Elsevier,"The patterning of social acoustic signaling at multiple timescales, from day-night rhythms to acoustic temporal properties, enhances sender-receiver coupling and reproductive success …",https://www.sciencedirect.com/science/article/pii/S0960982216308739,"https://scholar.google.com/scholar?cites=16570213647281721931&as_sdt=2005&sciodt=0,5&hl=en"
620,77,Long-term monitoring of dolphin biosonar activity in deep pelagic waters of the Mediterranean Sea,37,"F Caruso, G Alonge, G Bellia, E De Domenico… - Scientific Reports, 2017",nature.com,"Dolphins emit short ultrasonic pulses (clicks) to acquire information about the surrounding environment, prey and habitat features. We investigated Delphinidae activity over multiple …",https://www.nature.com/articles/s41598-017-04608-6,"https://scholar.google.com/scholar?cites=247677306178885873&as_sdt=2005&sciodt=0,5&hl=en"
621,77,Vocalization source level distributions and pulse compression gains of diverse baleen whale species in the Gulf of Maine,20,"D Wang, W Huang, H Garcia, P Ratilal - Remote Sensing, 2016",mdpi.com,"The vocalization source level distributions and pulse compression gains are estimated for four distinct baleen whale species in the Gulf of Maine: fin, sei, minke and an unidentified …",https://www.mdpi.com/162568,"https://scholar.google.com/scholar?cites=8887192377762421616&as_sdt=2005&sciodt=0,5&hl=en"
622,77,Continental shelf-scale passive acoustic detection and characterization of diesel-electric ships using a coherent hydrophone array,19,"W Huang, D Wang, H Garcia, OR Godø, P Ratilal - Remote Sensing, 2017",mdpi.com,The passive ocean acoustic waveguide remote sensing (POAWRS) technique is employed to detect and characterize the underwater sound radiated from three scientific research and …,https://www.mdpi.com/212526,"https://scholar.google.com/scholar?cites=2266597118875138243&as_sdt=2005&sciodt=0,5&hl=en"
623,77,Angular resolution enhancement provided by nonuniformly-spaced linear hydrophone arrays in ocean acoustic waveguide remote sensing,16,"D Wang, P Ratilal - Remote Sensing, 2017",mdpi.com,"Uniformly-spaced apertures or subapertures of large, densely-sampled, discrete linear receiver arrays are often used in remote sensing to increase the signal-to-noise ratio (SNR) …",https://www.mdpi.com/229054,"https://scholar.google.com/scholar?cites=16498810868334356863&as_sdt=2005&sciodt=0,5&hl=en"
